permission	n. 同意,许可,允许
diversion	n. 转向, 转移, 娱乐活动
centigrade	adj. 分为百度的,摄氏的
expanse	n. 苍天，宽阔的区域, 广阔
revolutionary	adj. 革命的 n. 革命者
configuration	n. 结构,布局,形态,格式塔心理完形 [计算机] 配置
economics	n. 经济学
marsh	n. 沼泽, 湿地 Marsh：马什（人名）
feeder	n. 饲养者, 进食者，供给者 n. 输电线，分支，支流
specimen	n. 样本,标本
ridge	n. 脊, 山脊, 山脉
assimilate	v. 使同化，吸收 n. 被同化的事物
slight	n. 轻蔑 adj. 轻微的,纤细的,脆弱的 vt. 轻视,忽略
embody	vt. 代表, 使具体化, 包含,使(精神)肉体化
spinal	adj. 针的, 尖刺的, 尖刺状突起的 adj. 脊骨的, 脊髓的
impediment	n. 障碍(障碍物,行李,辎重)
sturdy	adj. 强健的, 健全的
interrupt	n. 中断 vt. 打断,妨碍 vi. 插嘴 [计算机] 中断
flea	n. 跳蚤
advocate	vt.提倡； 拥护； 鼓吹； 为…辩护 n.（辩护）律师； 提倡者； 支持者
plantation	n. 种植园，大农场，殖民地
cider	n. 苹果汁, 苹果酒
finch	n. 雀类
trapper	n. 设陷阱捕兽者；捕捉器；[矿业] 矿井风门开关管理员
ooze	n. 软泥，渗出物 vi. 渗出, 泄漏 vt. 慢慢渗出，流露
spur	n. 马刺, 刺激, 鞭策, 支脉, (公路或铁路的)支线,  vt. 以马刺策(马)前进, 刺激, 激励, 给(马)装马刺
appraisal	n. 估计,估量,评价
ambitious	adj. 热望的, 有雄心的, 有抱负的
subsection	n. 小部份, 小单位, 细分
parliamentary	adj. 国会的, 议会的, 议会制度的
aquarium	n. 水族馆,养鱼池,玻璃缸
precede	vt. &vi. 在...之前,优于,较...优先
rotate	vt. &vi. (使)旋转,轮流 adj. 车轮状的
outcry	n. 大声喊叫, 强烈抗议，拍卖
antique	adj. 古代的 n. 古物, 古董
appreciable	adj. 可感知的, 可评估的，很可观的
distant	adj. 遥远的,疏远的，远房的，陌生的，远行的
tremendous	adj. 巨大的, 惊人的
flash	n. 闪光,闪现,闪烁物,花哨,一瞬间,电脑动画技术 vi. 闪现,闪烁 vt. 传送,用光联络,流露出 adj. 花哨的,炫耀的,昙花一现的
nervous	adj. 紧张的,焦虑的,神经质的
vapor	n. 蒸汽
harmonic	adj. 调和的, 音乐般的, 和声的 n. 和音, 调波 [计算机] 调和的
arthritis	n. 关节炎
tentacle	n. (动物)触角, 触须
tasty	adj. 好吃的
leap	n. 跳跃,剧增,急变 v. 跳跃,跃过,猛冲 adj. 闰年的
horror	adj. 恐怖的,令人毛骨悚然的 n. 恐怖,战栗,厌恶
terrestrial	adj. 地球的；陆地的，[生物] 陆生的；人间的 n. 陆地生物；地球上的人
exposition	n. 博览会, 展览会, 说明
synonymous	adj. 同义的
null	adj. 无效力的,无效的,无价值的 n. 零 [计算机] 空 vt. 使无效
thatch	n. 盖屋顶的材料, 用草盖的屋顶, 浓密的头发 v. 茸
obscure	adj. 微暗的,难解的,不著名的,[语音学]轻音的  vt. 使...阴暗,隐藏,使...含糊,成为含糊的元音   n. 暗淡,模糊
comprehend	vt. 充分理解(综合,包含)
admiration	n. 钦佩, 赞赏
offensive	adj. 令人不快的,侮辱的,攻击用的 n. 进攻
collective	adj. 集体的,共同的 n. 集体
fantasy	n. 幻想 v. 幻想
divergence	n. 分歧 n. 散度（数学用语）
tarnish	n. 晦暗, 生锈, 污点 v. 使生锈, 沾污
anticipation	n. 预期, 预料
trumpet	n. 喇叭,喇叭声,喇叭手 vt. 宣扬；鼓吹；吹嘘 vi. 吹喇叭,发出喇叭似的声音
fluctuation	n. 波动,起伏
preliminary	n. 初步行动, 准备, 初步措施 adj. 初步的, 开始的, 预备的
communal	adj. 公有的
inconclusive	adj. 非决定性,不确定的,不得要领的
outermost	adj. 最外方的(最远的, 最高头的)
regulatory	adj. 管理的, 控制的, 调整的
authenticate	v. 证明(某物)为真
cuticle	n. 角质层；表皮；护膜；（手指甲或脚趾甲根部的）外皮
dietary	adj. 饭食的, 饮食的 n. 规定的食物, 饮食的规定
scent	n. 气味,香味,痕迹 vt. 闻出,发觉,使充满味道,得到...的暗示 vi. 嗅闻,循着遗臭追踪,散发气味
traction	n. 拖，拽，牵引,牵引力，附着磨擦力
import	n. 进口 vi. 进口,输入 vt. 输入,进口
frank	adj. 坦白的,直率的,无误的 vt. 免费邮寄,使自由出入 n. 免费邮寄
burrow	n. (兔子等)所掘的地洞 v. 挖洞 vi. 翻寻,挖洞 vt. 挖掘(洞穴),钻进
blacksmith	n. 铁匠
irresponsible	adj. 不负责任的, 不可靠的，没有承担能力的
forefather	n. 祖先，先辈
medieval	adj. 中世纪的
secondary	adj. 中级的,中等的,次要的 n. 次要位置, 副手
dump	n. 垃圾场,堆放处 vt. 丢弃,抛售,导出 vi. 骤降,扔垃圾
confederate	n. 同盟国，同盟者 adj. 同盟的，联合的 vt. 使联盟；使联合；同伙；帮凶 vi. 同盟；联合
ozone	n. 臭氧, 新鲜空气
cosmopolitan	adj. 世界性的, 久经世故的
frost	n. 霜,冰冻,冷漠 vt. &vi. 覆着霜,冻结,结霜
compress	vt. 压缩, 压榨 n. [医]敷布
glorify	vt. 赞美, 美化
leaky	adj. 出现裂缝的，泄漏的
waxy	adj. 像蜡的, 蜡色的, 苍白的，光滑的，顺从的
wade	v. 跋涉，涉水 n. 跋涉
gallant	adj. 英勇的, 华丽的，殷勤的 n. 时髦男士，对女子殷勤的男士，求爱者，情夫 vt. 献殷勤
infusion	n. 注入,灌输,激励,泡制
heritage	n. 遗产, 继承物
walnut	n. 胡桃,胡桃木,胡桃色,茶色
anarchist	n. 无政府主义者
inhibit	vt. &vi. 禁止,抑制 [计算机] 禁止
portray	v. 描写,描写...的肖像,逼真地描写
conifer	n. 针叶树
impetus	n. 动力,推动力
accidental	adj. 意外的,偶然的,附属的 n. 偶然,不重要的东西,变调的临时符号
accompany	vt. 陪伴, 伴随，给...伴奏 vi. 伴奏
boundary	n. 分界线, 边界
purify	v.(使）净化，（使）精炼，涤罪
tycoon	n. 企业界的大亨，（日本幕府的）将军
homespun	adj. 家里(织)的 n. 手织品
consistent	adj. 始终如一的, 一致的, 坚持的
preoccupation	n. 先取, 先入成见, 全神贯注的事, 专心
elementary	adj. 基本的,初级的,元素的
prevalent	adj. 流行的, 普遍的
embryonic	adj. 胚胎的, 萌芽期的
vertical	adj. 垂直的,顶点的,纵向的 n. 垂直物, 垂直的位置
misconception	n. 误解, 错误想法
adequate	adj. 足够的, 充足的, 适当的, 能胜任的
permissive	adj. 许可的,获准的,自由的
hazardous	adj. 危险的,冒险的,碰运气的
strive	v. 努力,奋斗,力争
counteract	vt. 抵消，中和，消解，抵制
weird	adj. 怪异的，离奇的 n.命运；预言者
congenial	adj. 同性质的, 适意的, 趣味相同的，友善的
incisive	adj. 敏锐的,机敏的,激烈的
cling	n. 紧抓,紧贴 vi. 粘紧,附着,紧贴
enlightenment	n. 启蒙 n.【佛教】 开悟
hostility	n. 敌意, 敌对状态, 公开战争
quartz	n. 石英
broadcast	n. 广播,广播节目 adj. 广播的 vt.& vi. 广播 adv. 经广播,四散地
figurehead	n. 装饰船头的人像,破浪神,傀儡领袖
radiant	adj. 发光的, 明亮的, 辐射的
rampant	adj. 猖獗的, 蔓延的, 奔放的
crevice	n. (岩石、墙等)裂缝
glide	n. 滑动, 滑过, 流水 v. 滑动, 滑翔, 溜走
choreograph	v. 设计舞蹈动作
subtraction	n. 减法, 减去
endurance	n. 忍耐, 忍耐力, 耐性
inspect	vt. 调查, 检阅 vi. 调查
inventory	n. 详细目录, 存货(清单) vt. 编制(详细目录)
